course_id,student_id,name,email,grade,enrolled_at
1,STU001,Student 1,student1@example.com,,2025-12-23T04:31:19.555518
1,STU002,Student 2,student2@example.com,,2025-12-23T04:31:19.580376
1,STU003,Student 3,student3@example.com,,2025-12-23T04:31:19.583864
1,STU004,Student 4,student4@example.com,,2025-12-23T04:31:19.586392
1,STU005,Student 5,student5@example.com,,2025-12-23T04:31:19.590360
1,STU006,Student 6,student6@example.com,,2025-12-23T04:31:19.595426
1,STU007,Student 7,student7@example.com,,2025-12-23T04:31:19.598890
1,STU008,Student 8,student8@example.com,,2025-12-23T04:31:19.613498
1,STU009,Student 9,student9@example.com,,2025-12-23T04:31:19.615743
1,STU010,Student 10,student10@example.com,,2025-12-23T04:31:19.618599
1,STU011,Student 11,student11@example.com,,2025-12-23T04:31:19.623593
1,STU012,Student 12,student12@example.com,,2025-12-23T04:31:19.641613
1,STU013,Student 13,student13@example.com,,2025-12-23T04:31:19.646447
1,STU014,Student 14,student14@example.com,,2025-12-23T04:31:19.658357
1,STU015,Student 15,student15@example.com,,2025-12-23T04:31:19.662346
1,STU016,Student 16,student16@example.com,,2025-12-23T04:31:19.664340
1,STU017,Student 17,student17@example.com,,2025-12-23T04:31:19.682016
1,STU018,Student 18,student18@example.com,,2025-12-23T04:31:19.699541
1,STU019,Student 19,student19@example.com,,2025-12-23T04:31:19.713748
1,STU020,Student 20,student20@example.com,,2025-12-23T04:31:19.717938
1,STU021,Student 21,student21@example.com,,2025-12-23T04:31:19.730214
1,STU022,Student 22,student22@example.com,,2025-12-23T04:31:19.742237
1,STU023,Student 23,student23@example.com,,2025-12-23T04:31:19.767195
1,STU024,Student 24,student24@example.com,,2025-12-23T04:31:19.798150
1,STU025,Student 25,student25@example.com,,2025-12-23T04:31:19.802139
1,STU026,Student 26,student26@example.com,,2025-12-23T04:31:19.817067
1,STU027,Student 27,student27@example.com,,2025-12-23T04:31:19.835758
1,STU028,Student 28,student28@example.com,,2025-12-23T04:31:19.857956
1,STU029,Student 29,student29@example.com,,2025-12-23T04:31:19.866952
1,STU030,Student 30,student30@example.com,,2025-12-23T04:31:19.869948
1,STU031,Student 31,student31@example.com,,2025-12-23T04:31:19.876278
1,STU032,Student 32,student32@example.com,,2025-12-23T04:31:19.883258
1,STU033,Student 33,student33@example.com,,2025-12-23T04:31:19.887261
1,STU034,Student 34,student34@example.com,,2025-12-23T04:31:19.896214
1,STU035,Student 35,student35@example.com,,2025-12-23T04:31:19.899230
1,STU036,Student 36,student36@example.com,,2025-12-23T04:31:19.902199
1,STU037,Student 37,student37@example.com,,2025-12-23T04:31:19.907238
1,STU038,Student 38,student38@example.com,,2025-12-23T04:31:19.910637
1,STU039,Student 39,student39@example.com,,2025-12-23T04:31:19.918091
1,STU040,Student 40,student40@example.com,,2025-12-23T04:31:19.925103
1,STU041,Student 41,student41@example.com,,2025-12-23T04:31:19.930560
1,STU042,Student 42,student42@example.com,,2025-12-23T04:31:19.939003
1,STU043,Student 43,student43@example.com,,2025-12-23T04:31:19.970637
1,STU044,Student 44,student44@example.com,,2025-12-23T04:31:19.976977
1,STU045,Student 45,student45@example.com,,2025-12-23T04:31:19.980926
1,STU046,Student 46,student46@example.com,,2025-12-23T04:31:19.984861
1,STU047,Student 47,student47@example.com,,2025-12-23T04:31:19.992007
1,STU048,Student 48,student48@example.com,,2025-12-23T04:31:19.993861
1,STU049,Student 49,student49@example.com,,2025-12-23T04:31:19.998115
1,STU050,Student 50,student50@example.com,,2025-12-23T04:31:20.001062
2,STD001,Student 1,student1@university.edu,,2025-12-23T04:37:59.195200
3,STD002,Student 2,student2@university.edu,,2025-12-23T04:37:59.201084
4,STD003,Student 3,student3@university.edu,,2025-12-23T04:37:59.210019
5,STD004,Student 4,student4@university.edu,,2025-12-23T04:37:59.217998
6,STD005,Student 5,student5@university.edu,,2025-12-23T04:37:59.245004
7,STD006,Student 6,student6@university.edu,,2025-12-23T04:37:59.254371
8,STD007,Student 7,student7@university.edu,,2025-12-23T04:37:59.262612
9,STD008,Student 8,student8@university.edu,,2025-12-23T04:37:59.270048
10,STD009,Student 9,student9@university.edu,,2025-12-23T04:37:59.276269
11,STD010,Student 10,student10@university.edu,,2025-12-23T04:37:59.287062
